studyName,studyYear,studyLoc,replicate,blockNumber,rowNumber,colNumber,plotNumber,germplasmName,intercropGermplasmName,observationLevel,observationUnitName,Oat_Height_1,Oat_Height_2,Oat_Height_3,Pea_Height_1,Pea_Height_2,Pea_Height_3,Oat_establishment,Pea_establishment,Lodging,Oat_Heading_Date,Pea_Flowering_Date
B4I_2025_AL,2025,AL,1,1,3,5,1085,IL23-1632,NDP170006G,plot,B4I_2025_AL_1085,27,72,27,17,37,17,13,5,4,119,115
B4I_2025_AL,2025,AL,1,1,3,6,1086,IL22-1423,NDP170104Y,plot,B4I_2025_AL_1086,23,78,23,17,56,17,7,5,3,119,115
B4I_2025_AL,2025,AL,1,1,3,7,1087,IL23-268,NDP250069Y,plot,B4I_2025_AL_1087,22,80,22,17,47,17,9,5,4,122,115
B4I_2025_AL,2025,AL,1,1,3,8,1088,IL23-739,NDP121711R,plot,B4I_2025_AL_1088,27,82,27,15,41,15,7,6,0,125,119
B4I_2025_AL,2025,AL,1,1,3,9,1089,IL23-2021,NDP250112G,plot,B4I_2025_AL_1089,24,78,24,21,45,21,8,6,6,122,115
B4I_2025_AL,2025,AL,1,1,3,10,1090,IL23-971,NDP250094Y,plot,B4I_2025_AL_1090,24,78,24,15,47,15,9,2,1,125,119
B4I_2025_AL,2025,AL,1,1,3,11,1091,IL23-951,NDP250062Y,plot,B4I_2025_AL_1091,20,82,20,17,62,17,11,2,1,122,115
B4I_2025_AL,2025,AL,1,1,3,12,1092,IL21-4043,NDP250168Y,plot,B4I_2025_AL_1092,23,74,23,19,50,19,8,7,3,125,119
B4I_2025_AL,2025,AL,1,1,3,13,1093,IL23-1431,NDP170182Y,plot,B4I_2025_AL_1093,24,82,24,15,38,15,10,1,6,119,115
B4I_2025_AL,2025,AL,1,1,3,14,1094,IL23-543,NDP250089Y,plot,B4I_2025_AL_1094,26,92,26,17,68,17,10,5,6,125,119
B4I_2025_AL,2025,AL,1,1,3,15,1095,IL23-3661,NDP170190Y,plot,B4I_2025_AL_1095,26,94,26,21,58,21,9,7,7,119,115
B4I_2025_AL,2025,AL,1,1,3,16,1096,IL23-1623,NDP170022G,plot,B4I_2025_AL_1096,28,80,28,20,39,20,7,4,5,119,115
B4I_2025_AL,2025,AL,1,1,3,17,1097,IL23-3443,NDP250100Y,plot,B4I_2025_AL_1097,24,71,24,19,47,19,10,6,7,122,115
B4I_2025_AL,2025,AL,1,1,3,18,1098,IL23-923,NDP170039G,plot,B4I_2025_AL_1098,22,85,22,14,36,14,8,5,2,125,119
B4I_2025_AL,2025,AL,1,1,3,19,1099,IL23-1619,NDP250053G,plot,B4I_2025_AL_1099,24,80,24,12,50,12,11,3,4,122,115
B4I_2025_AL,2025,AL,1,1,3,20,1100,IL22-1939,NDP250083Y,plot,B4I_2025_AL_1100,26,85,26,16,42,16,7,5,4,122,115
B4I_2025_AL,2025,AL,1,1,3,21,1101,IL23-4835,NDP160188Y,plot,B4I_2025_AL_1101,24,90,24,17,43,17,10,5,5,122,115
B4I_2025_AL,2025,AL,1,1,3,22,1102,IL23-1655,NDP170011G,plot,B4I_2025_AL_1102,22,67,22,16,41,16,8,4,3,119,115
B4I_2025_AL,2025,AL,1,1,3,23,1103,IL23-453,NDP170183Y,plot,B4I_2025_AL_1103,25,72,25,21,47,21,15,5,5,125,119
B4I_2025_AL,2025,AL,1,1,3,24,1104,IL23-551,NDP250043Y,plot,B4I_2025_AL_1104,24,73,24,16,44,16,8,5,4,125,119
B4I_2025_AL,2025,AL,1,1,3,25,1105,IL23-4252,NDP170252Y,plot,B4I_2025_AL_1105,24,78,24,16,43,16,9,5,3,128,119
B4I_2025_AL,2025,AL,1,1,3,26,1106,IL23-810,NDP170043G,plot,B4I_2025_AL_1106,27,67,27,15,37,15,9,3,4,128,119
B4I_2025_AL,2025,AL,1,1,3,27,1107,IL23-1556,NDP250099Y,plot,B4I_2025_AL_1107,25,80,25,15,43,15,11,4,3,119,115
B4I_2025_AL,2025,AL,1,1,3,28,1108,IL23-2458,NDP250037Y,plot,B4I_2025_AL_1108,26,80,26,22,50,22,14,4,3,125,119
B4I_2025_AL,2025,AL,1,1,3,29,1109,IL23-2246,NDP140295G,plot,B4I_2025_AL_1109,21,66,21,22,52,22,8,3,7,125,119
B4I_2025_AL,2025,AL,1,1,3,30,1110,IL23-1660,NDP250091Y,plot,B4I_2025_AL_1110,23,77,23,10,35,10,10,3,4,119,115
B4I_2025_AL,2025,AL,1,1,3,31,1111,IL23-4722,NDP250149G,plot,B4I_2025_AL_1111,20,76,20,19,43,19,10,3,3,128,119
B4I_2025_AL,2025,AL,1,1,3,32,1112,IL23-1409,NDP250062Y,plot,B4I_2025_AL_1112,24,81,24,11,43,11,8,4,5,119,115
B4I_2025_AL,2025,AL,1,1,4,33,1113,IL23-4835,NDP250142G,plot,B4I_2025_AL_1113,31,95,31,13,49,13,13,6,4,122,115
B4I_2025_AL,2025,AL,1,1,3,34,1114,IL23-4243,NDP170110Y,plot,B4I_2025_AL_1114,22,72,22,20,40,20,9,9,5,119,115
B4I_2025_AL,2025,AL,1,1,3,35,1115,IL23-1459,NDP250072Y,plot,B4I_2025_AL_1115,24,84,24,19,52,19,7,3,6,119,115
B4I_2025_AL,2025,AL,1,1,3,36,1116,IL23-251,NDP120181Y,plot,B4I_2025_AL_1116,26,78,26,15,43,15,8,5,4,122,115
B4I_2025_AL,2025,AL,1,1,3,37,1117,IL23-3335,NDP250057G,plot,B4I_2025_AL_1117,24,73,24,21,44,21,11,3,6,122,115
B4I_2025_AL,2025,AL,1,1,3,38,1118,IL22-4548,NDP170039G,plot,B4I_2025_AL_1118,25,72,25,15,35,15,10,3,6,125,119
B4I_2025_AL,2025,AL,1,1,3,39,1119,IL23-2751,NDP250055G,plot,B4I_2025_AL_1119,20,73,20,14,43,14,11,3,6,125,119
B4I_2025_AL,2025,AL,1,1,3,40,1120,IL23-512,NDP250101Y,plot,B4I_2025_AL_1120,25,70,25,15,39,15,11,5,4,125,119
B4I_2025_AL,2025,AL,1,1,4,40,1121,IL22-4325,NDP250122Y,plot,B4I_2025_AL_1121,25,84,25,14,39,14,10,5,3,122,115
B4I_2025_AL,2025,AL,1,1,4,39,1122,IL23-621,NDP170177Y,plot,B4I_2025_AL_1122,28,80,28,11,35,11,12,1,2,125,119
B4I_2025_AL,2025,AL,1,1,4,38,1123,IL23-907,NDP250119G,plot,B4I_2025_AL_1123,19,75,19,11,46,11,17,5,1,125,119
B4I_2025_AL,2025,AL,1,1,4,37,1124,IL23-3738,NDP250149G,plot,B4I_2025_AL_1124,23,71,23,15,52,15,14,6,1,122,115
B4I_2025_AL,2025,AL,1,1,4,36,1125,IL23-3823,NDP250118G,plot,B4I_2025_AL_1125,24,79,24,15,42,15,12,2,4,122,115
